word_segment,instances,prominence
ར་,110,3.280644199224575
འི་,98,2.9227557411273484
དང་,90,2.6841634357291975
ལ་,49,1.4613778705636742
དུ་,43,1.2824336415150612
ས་,41,1.2227855651655235
དེ་,36,1.073665374291679
མ་,35,1.0438413361169103
ནི་,34,1.0140172979421413
རྟོག་པ་,33,0.9841932597673724
མི་,33,0.9841932597673724
ནི,33,0.9841932597673724
རྣམ་རྟོག་,32,0.9543692215926037
ལ,31,0.9245451834178348
ས,31,0.9245451834178348
སེམས་,31,0.9245451834178348
ཡིན,29,0.864897107068297
སུ་,28,0.8350730688935281
སྟེ,28,0.8350730688935281
ཀྱི་,24,0.7157769161944527
ན,20,0.5964807634953773
ཀྱང་,19,0.5666567253206084
བྱ,19,0.5666567253206084
མཚན་ཉིད་,18,0.5368326871458395
དུས་,18,0.5368326871458395
ན་,18,0.5368326871458395
བླ་མ་,17,0.5070086489710707
ཉིད་,17,0.5070086489710707
ཏེ,16,0.47718461079630187
ཡི་,15,0.44736057262153295
ཆོས་,15,0.44736057262153295
བཞིན,15,0.44736057262153295
གྱུར་,15,0.44736057262153295
བྱུང་,15,0.44736057262153295
མེད་,15,0.44736057262153295
གཅིག་,14,0.41753653444676403
དུ,14,0.41753653444676403
གཉིས་,14,0.41753653444676403
ནས,14,0.41753653444676403
གདམས་ངག་,13,0.3877124962719952
གསུང་,13,0.3877124962719952
མེད་པ,13,0.3877124962719952
ཡང་,13,0.3877124962719952
ཤེས་རབ་,13,0.3877124962719952
གི་,13,0.3877124962719952
མེད,13,0.3877124962719952
རང་,13,0.3877124962719952
ཙམ་,13,0.3877124962719952
ཆོས་སྐུ་,12,0.35788845809722636
ཉམས་,12,0.35788845809722636
འོ,12,0.35788845809722636
གསུངས,12,0.35788845809722636
ལུས་,12,0.35788845809722636
ཡིན་,12,0.35788845809722636
ངང་,12,0.35788845809722636
སྐྱེས་,11,0.3280644199224575
དོན་,11,0.3280644199224575
ནས་,11,0.3280644199224575
དང་པོ་,11,0.3280644199224575
གོ་ཆ་,11,0.3280644199224575
འགྱུར,11,0.3280644199224575
ཀྱིས་,11,0.3280644199224575
གསལ་,11,0.3280644199224575
རྣམས་,10,0.29824038174768863
དེ,10,0.29824038174768863
བཞི་,10,0.29824038174768863
འབྱུང་,10,0.29824038174768863
ཤེས་,10,0.29824038174768863
སྙམ་,10,0.29824038174768863
འབྲས་བུ་,10,0.29824038174768863
སྒོམ་,9,0.26841634357291977
ཐམས་ཅད་,9,0.26841634357291977
ཀུན,9,0.26841634357291977
ལམ་,9,0.26841634357291977
ཡི,9,0.26841634357291977
ཡིན་པ,9,0.26841634357291977
སེམས་ཉིད་,9,0.26841634357291977
གཟུང་,9,0.26841634357291977
མེད་པ་,9,0.26841634357291977
སྦྱོར་,8,0.23859230539815093
འདི་,8,0.23859230539815093
སྣ་ཚོགས་,8,0.23859230539815093
སྣང་བ་,8,0.23859230539815093
འདི,8,0.23859230539815093
རྐྱེན་,8,0.23859230539815093
སྐྱེ་,8,0.23859230539815093
ཕྱིར,7,0.20876826722338201
རྟོག་,7,0.20876826722338201
ལྷན་ཅིག་,7,0.20876826722338201
རྣམ་པ་,7,0.20876826722338201
རྒྱུ་,7,0.20876826722338201
ཤེས་པ,7,0.20876826722338201
གང་ཟག་,7,0.20876826722338201
ཚིག་,7,0.20876826722338201
སུ,7,0.20876826722338201
བསྟན,7,0.20876826722338201
སྤང་,7,0.20876826722338201
བཤེས་གཉེན་,7,0.20876826722338201
ཝལ་གྱིས་,7,0.20876826722338201
ལྟ་བ,7,0.20876826722338201
ངོས་,7,0.20876826722338201
ལན་,7,0.20876826722338201
ཡེངས་,7,0.20876826722338201
འི,6,0.17894422904861318
རྣམ་པ,6,0.17894422904861318
ཤེས་པ་,6,0.17894422904861318
ཕན་ཡོན་,6,0.17894422904861318
གསུམ་,6,0.17894422904861318
གྱི་,6,0.17894422904861318
གིས,6,0.17894422904861318
ཆོས་སྐུ,6,0.17894422904861318
ཡེ་ཤེས་,6,0.17894422904861318
གསུམ་པ་,6,0.17894422904861318
བླ་མ,6,0.17894422904861318
གཉིས་པ་,6,0.17894422904861318
ཚོ་,6,0.17894422904861318
ལྔ་,6,0.17894422904861318
